OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2020 Total Population
11,57,City,Los Angeles,Boyle Heights,Los Angeles - Boyle Heights,LA City,144046936.56152299,59921.34092990,10,US,11,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,84950.00000000
12,58,City,Los Angeles,Brentwood,Los Angeles - Brentwood,LA City,257124249.69824201,101595.13912604,11,US,12,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,29933.00000000
13,59,City,Los Angeles,Brookside,Los Angeles - Brookside,LA City,2854060.80957031,7539.25605393,12,US,13,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,634.00000000
14,60,City,Los Angeles,Cadillac-Corning,Los Angeles - Cadillac-Corning,LA City,6719564.08203125,10707.14703123,13,US,14,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,6780.00000000
15,61,City,Los Angeles,Canoga Park,Los Angeles - Canoga Park,LA City,128293030.19238301,57957.64965416,14,US,15,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,62601.00000000
16,62,City,Los Angeles,Carthay,Los Angeles - Carthay,LA City,27646587.85546880,26826.35351940,15,US,16,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,13749.00000000
17,63,City,Los Angeles,Central,Los Angeles - Central,LA City,41716624.38378910,32538.08902026,16,US,17,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,37166.00000000
18,64,City,Los Angeles,Century City,Los Angeles - Century City,LA City,32256016.22656250,23918.20407985,17,US,18,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,12544.00000000
19,65,City,Los Angeles,Century Palms/Cove,Los Angeles - Century Palms/Cove,LA City,57881661.84472660,33546.22426826,18,US,19,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,32314.00000000
20,66,City,Los Angeles,Chatsworth,Los Angeles - Chatsworth,LA City,293130093.92871100,76897.51017990,19,US,20,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,35461.00000000
21,67,City,Los Angeles,Cheviot Hills,Los Angeles - Cheviot Hills,LA City,48358745.71484380,32289.47564156,20,US,21,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,9172.00000000
22,68,City,Los Angeles,Chinatown,Los Angeles - Chinatown,LA City,11187362.53613280,14754.46111066,21,US,22,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,9655.00000000
23,69,City,Los Angeles,Cloverdale/Cochran,Los Angeles - Cloverdale/Cochran,LA City,24119180.51953130,24448.58584071,22,US,23,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,14093.00000000
24,70,City,Los Angeles,Country Club Park,Los Angeles - Country Club Park,LA City,26965076.86230470,22568.78082710,23,US,24,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,14579.00000000
25,71,City,Los Angeles,Crenshaw District,Los Angeles - Crenshaw District,LA City,32980853.87402340,26081.47419735,24,US,25,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,13661.00000000
26,72,City,Los Angeles,Crestview,Los Angeles - Crestview,LA City,21739226.06445310,21651.95076405,25,US,26,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,11043.00000000
27,73,City,Los Angeles,Del Rey,Los Angeles - Del Rey,LA City,65322148.70605470,45191.74149323,26,US,27,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,29720.00000000
28,74,City,Los Angeles,Downtown,Los Angeles - Downtown,LA City,57995830.85351560,44343.91349600,27,US,28,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,40024.00000000
29,75,City,Los Angeles,Eagle Rock,Los Angeles - Eagle Rock,LA City,128941728.49316400,59900.47194267,28,US,29,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,38273.00000000
30,76,City,Los Angeles,East Hollywood,Los Angeles - East Hollywood,LA City,30724903.45019530,22876.42826400,29,US,30,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,28102.00000000
31,77,City,Los Angeles,Echo Park,Los Angeles - Echo Park,LA City,27755067.77539060,26540.21668548,0,US,31,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,14033.00000000
32,78,City,Los Angeles,El Sereno,Los Angeles - El Sereno,LA City,109050969.51269500,57287.73309228,1,US,32,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,40643.00000000
33,79,City,Los Angeles,Elysian Park,Los Angeles - Elysian Park,LA City,48791230.74902340,39718.04752073,2,US,33,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,5870.00000000
34,80,City,Los Angeles,Elysian Valley,Los Angeles - Elysian Valley,LA City,26846913.16601560,53961.13855467,3,US,34,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,10022.00000000
35,81,City,Los Angeles,Encino,Los Angeles - Encino,LA City,394357958.49316400,104094.97099847,4,US,35,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,43892.00000000
